Text Clean,Sentiment
kecewa capek capek bunuh musuh headshot berturutturut orang kasih titlel tolong tencent kasih titlel capai tier platinum dikasih kecewa tencent,negative
plisss pembaruan download ulang seharian download ulang menghabiskan pakai wifi banget okelah download ulang habis liatin download main ngabisin kuota,negative
taii update jam ehh ngeleg musuh didepan mati parahhh tencent mentingin grafiktapi kualitas hancur,negative
bagus sayang gk hp ram rendah tolong update kurangi kasian top hp gk muat main pubg,negative
login pasword email sinyalnya bagus sudahnya puzzle error code try menerus,negative
kebayang download kali kouta gb sekarabg semuah apk hapusin kaya dllukalo kecewamerasa kecewa update mb gb coba bayangin gb habis instal gagal persen download pubg gb bayangin instal update ajah gb deh gitu gagal update rugi kouta hampirgbgua mibta ganti rugi,negative
pubg mobile aplikasi bagus menyukai aplikasi iniakan main tolong hilangkan bugkarna bug menganggu tolong tencent games,negative
aduh bug min² loading screen masuk² resource didownload terulang capek dh pakai wifi maaf min bintang,negative
muak main pubg game bermanfaat bikin orang lalai game berjuta donload banggain nyimpan game menyesal buang duit beli royal pass update segimana game sampah manfaat membuang orang lalai game lambat suka ngeleg bermanfaat game burik sampah,negative
event pubg tulisan kesalahan game harap coba emang game babi,negative
dear tencent mohon menyesuaikan level pemain game level rendah match bertemu player level profesional mohon level sesuaikan match,negative
update susah login login fb cocokin puzzle ratusan kali susah login update kasihan penikmat game mu,negative
update g masuk mearching pengaturan rubah defaul g masuk update bug bikin kesel nich tolong perbaikan pagi update eh malam g konfitible perangkat aneh lambat bintang ½ ancuuur update pakai data duit bos q pakai airmakin parah,negative
tolong juragan bug perbaiki sinyal lancar ngelag pakai hp bagus ram gb juragan tolong perbaiki berantas cheater cheater ajar dirimasa tembak one shot one kill pakai pistol anjing,negative
pubg bugnya hilang tombol larinya gerak jaringannya bagustiba skop keganti oe pubg diperbaiki ata kembalikan tencentkrafton bagus kelolanya,negative
bug kebangetan turun pas jumpa musuh otomatis patah patah gitu diandroid,negative
mode perang mati nunggu respauwn detik turun pesawat karakter teman kitasangat mengganggu bug tolong perbaiki,negative
perbaiki bug trus server sinyal g pakai simpati udh match ngelag patah patah klah game sbelah skrg pindah game,negative
